Rank,Title,Artist(s),Artists Separately
1,"""Tossin' and Turnin'""",Bobby Lewis,Bobby Lewis
2,"""I Fall to Pieces""",Patsy Cline,Patsy Cline
3,"""Michael""",The Highwaymen,The Highwaymen
4,"""Crying""",Roy Orbison,Roy Orbison
5,"""Runaway""",Del Shannon,Del Shannon
6,"""My True Story""",The Jive Five,The Jive Five
7,"""Pony Time""",Chubby Checker,Chubby Checker
8,"""Wheels""",The String-A-Longs,The String-A-Longs
9,"""Raindrops""",Dee Clark,Dee Clark
10,"""Wooden Heart""",Joe Dowell,Joe Dowell
11,"""Calcutta""",Lawrence Welk,Lawrence Welk
12,"""Take Good Care of My Baby""",Bobby Vee,Bobby Vee
13,"""Running Scared""",Roy Orbison,Roy Orbison
14,"""Dedicated to the One I Love""",The Shirelles,The Shirelles
15,"""Last Night""",The Mar-Keys,The Mar-Keys
16,"""Will You Love Me Tomorrow""",The Shirelles,The Shirelles
17,"""Exodus""",Ferrante & Teicher,Ferrante & Teicher
18,"""Where the Boys Are""",Connie Francis,Connie Francis
19,"""Hit the Road Jack""",Ray Charles,Ray Charles
20,"""Sad Movies (Make Me Cry)""",Sue Thompson,Sue Thompson
21,"""Mother-in-Law""",Ernie K-Doe,Ernie K-Doe
22,"""Bristol Stomp""",The Dovells,The Dovells
23,"""Travelin' Man""",Ricky Nelson,Ricky Nelson
24,"""Shop Around""",The Miracles,The Miracles
25,"""The Boll Weevil Song""",Brook Benton,Brook Benton
26,"""A Hundred Pounds of Clay""",Gene McDaniels,Gene McDaniels
27,"""The Mountain's High""",Dick and Dee Dee,Dick and Dee Dee
28,"""Don't Worry""",Marty Robbins,Marty Robbins
29,"""On the Rebound""",Floyd Cramer,Floyd Cramer
30,"""Portrait of My Love""",Steve Lawrence,Steve Lawrence
31,"""Quarter to Three""",Gary U.S. Bonds,Gary U.S. Bonds
32,"""Who Put the Bomp (in the Bomp, Bomp, Bomp)""",Barry Mann,Barry Mann
33,"""Calendar Girl""",Neil Sedaka,Neil Sedaka
34,"""I Like It Like That""",Chris Kenner,Chris Kenner
35,"""Apache""",Jørgen Ingmann,Jørgen Ingmann
36,"""Don't Bet Money Honey""",Linda Scott,Linda Scott
37,"""Without You""",Johnny Tillotson,Johnny Tillotson
38,"""Wings of a Dove""",Ferlin Husky,Ferlin Husky
39,"""Little Sister""",Elvis Presley,Elvis Presley
40,"""Blue Moon""",The Marcels,The Marcels
41,"""Daddy's Home""",Shep and the Limelites,Shep and the Limelites
42,"""This Time""",Troy Shondell,Troy Shondell
43,"""(I Don't Know Why) But I Do""","Clarence ""Frogman"" Henry","Clarence ""Frogman"" Henry"
44,"""Asia Minor""",Kokomo,Kokomo
45,"""Hello Walls""",Faron Young,Faron Young
46,"""Runaround Sue""",Dion,Dion
47,"""Yellow Bird""",Arthur Lyman,Arthur Lyman
48,"""Hurt""",Timi Yuro,Timi Yuro
49,"""Hello Mary Lou""",Ricky Nelson,Ricky Nelson
50,"""There's a Moon Out Tonight""",The Capris,The Capris
51,"""Surrender""",Elvis Presley,Elvis Presley
52,"""I Love How You Love Me""",The Paris Sisters,The Paris Sisters
53,"""Ya Ya""",Lee Dorsey,Lee Dorsey
54,"""School Is Out""",Gary U.S. Bonds,Gary U.S. Bonds
55,"""Mexico""",Bob Moore,Bob Moore
56,"""You Don't Know What You've Got (Until You Lose It)""",Ral Donner,Ral Donner
57,"""Walk Right Back""",The Everly Brothers,The Everly Brothers
58,"""The Way You Look Tonight""",The Lettermen,The Lettermen
59,"""Moody River""",Pat Boone,Pat Boone
60,"""One Mint Julep""",Ray Charles,Ray Charles
61,"""Take Good Care of Her""",Adam Wade,Adam Wade
62,"""Gee Whiz (Look at His Eyes)""",Carla Thomas,Carla Thomas
63,"""Stand by Me""",Ben E. King,Ben E. King
64,"""Spanish Harlem""",Ben E. King,Ben E. King
65,"""It's Gonna Work Out Fine""",Ike and Tina Turner,Ike and Tina Turner
66,"""Baby Blue""",The Echoes,The Echoes
67,"""Baby Sittin' Boogie""",Buzz Clifford,Buzz Clifford
68,"""Hats Off to Larry""",Del Shannon,Del Shannon
69,"""Those Oldies but Goodies""",Little Caesar & the Romans,Little Caesar & the Romans
70,"""The Fly""",Chubby Checker,Chubby Checker
71,"""(Marie's the Name) His Latest Flame""",Elvis Presley,Elvis Presley
72,"""Wonderland by Night""",Bert Kaempfert,Bert Kaempfert
73,"""Bless You""",Tony Orlando,Tony Orlando
74,"""I've Told Every Little Star""",Linda Scott,Linda Scott
75,"""One Track Mind""",Bobby Lewis,Bobby Lewis
76,"""Angel Baby""",Rosie and the Originals,Rosie and the Originals
77,"""Pretty Little Angel Eyes""",Curtis Lee,Curtis Lee
78,"""Think Twice""",Brook Benton,Brook Benton
79,"""Does Your Chewing Gum Lose Its Flavour (On the Bedpost Overnight?)""",Lonnie Donegan,Lonnie Donegan
80,"""Breakin' in a Brand New Broken Heart""",Connie Francis,Connie Francis
81,"""Mama Said""",The Shirelles,The Shirelles
82,"""Let the Four Winds Blow""",Fats Domino,Fats Domino
83,"""The Writing on the Wall""",Adam Wade,Adam Wade
84,"""My Kind of Girl""",Matt Monro,Matt Monro
85,"""Tonight My Love, Tonight""",Paul Anka,Paul Anka
86,"""San Antonio Rose""",Floyd Cramer,Floyd Cramer
87,"""Big Bad John""",Jimmy Dean,Jimmy Dean
88,"""Good Time Baby""",Bobby Rydell,Bobby Rydell
89,"""Rubber Ball""",Bobby Vee,Bobby Vee
90,"""Missing You""",Ray Peterson,Ray Peterson
91,"""Dum Dum""",Brenda Lee,Brenda Lee
92,"""I'm Gonna Knock on Your Door""",Eddie Hodges,Eddie Hodges
93,"""You Can Depend on Me""",Brenda Lee,Brenda Lee
94,"""Let's Twist Again""",Chubby Checker,Chubby Checker
95,"""Take Five""",The Dave Brubeck Quartet,The Dave Brubeck Quartet
96,"""Are You Lonesome Tonight?""",Elvis Presley,Elvis Presley
97,"""Sea of Heartbreak""",Don Gibson,Don Gibson
98,"""More Money for You and Me""",The Four Preps,The Four Preps
99,"""You Must Have Been a Beautiful Baby""",Bobby Darin,Bobby Darin
100,"""Please Stay""",The Drifters,The Drifters
